cell_index,animal_id,slice_id,cell_slice_id,ephys_id,Trace-plot_id,hemisphere,depth_slice,depth_pial,depth_apical_tree,has_morph,good_morph,area,layer,quality,matching,Orientation
1,1,S1,1,SW0002,001-1-S1-1,L,25,116,361.721,1,1,RSPd,23,Medium,yes ,58°  
2,1,S1,2,SW0002,002-1-S1-2,L,43.5,151,265.88,1,1,RSPd,23,Medium,yes ,0°
3,1,S1,1,SW0001,003-1-S1-1,R,30,157,193.071,1,1,RSPd,23,Medium,No : basal3,0°
4,1,S2,1,SW0004,004-1-S2-1,L,24,241,341.595,1,1,RSPd,23,Good,No : basal3,0°
5,1,S2,1,SW0003,005-1-S2-1,R,13,156,233.939,1,1,RSPd,23,Bad,No : basal3,0°
6,1,S3,1,SW0006,006-1-S3-1,L,6.5,149,222.374,1,1,RSPd,23,Bad,yes ,20°
7,2,S1,1,SW0001,007-2-S1-1,L,23,177,283.165,1,1,RSPd,23,Bad,"No : basal3, basal4",0°
8,2,S1,2,SW0002,008-2-S1-2,L,9,99,121.927,1,1,RSPd,23,Very bad,"No : basal3, basal4",50°
9,2,S1,3,SW0003,X,L,5,108,218.201,0,0,RSPd,23,Very bad,X,67°
10,2,S2,1,SW0004,010-2-S2-1,L,37.5,123,203.444,1,1,RSPd,23,Medium,"No : basal3, basal4",0°
11,2,S3,1,SW0005,011-2-S3-1,L,36,171,244.743,1,1,RSPd,23,Medium,"No : basal3, basal4",20°
12,2,S4,1,SW0006,012-2-S4-1,L,55.5,124,182.335,1,1,RSPd,23,Very good,"No : basal3, basal4",0°
13,3,S1,1,SW0002,013-3-S1-1,L,46.5,193,309.853,1,1,RSPd,23,Medium,"No : basal3, basal4",0°
14,3,S1,1,SW0001,014-3-S1-1,R,85.5,131,141.837,1,1,RSPd,23,Good,"No : basal3, basal4, basal5, basal6, basal7",-20°
15,3,S2,1,SW0003,015-3-S2-1,L,31.5,137,265.312,1,1,RSPd,23,Good,"No : basal3, basal4, basal5, basal6",-60°
16,3,S3,1,SW0004,016-3-S3-1,L,35,122,145.082,1,1,RSPd,23,Medium,"No : basal3, basal4",0°
