animal_id,short_id,dob,sex,strain,gcamp,celltype,virus_id,hemisphere,injection_date,has_serial2p,Notes,inj_ap,inj_ml,inj_dv
1114353,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,,8.149930064176402,5.135000822774396,0.3823514892216554
1114356,7f-02,16/3/2021,m,penk,7f,penk,ADD3,L,24/8/2021,1,,7.592509313464609,5.083905446159304,0.3504213233989711
1115464,7f-03,5/8/2021,m,penk,7f,penk,ADD3,R,12/10/2021,1,,7.771470588235295,5.004816176470588,0.38830882352941176
1115465,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,,7.549500077808901,5.130337690631809,0.3742160753190165
1115816,8f-01,14/9/2021,m,penk,7f,penk,A122,R,25/11/2021,1,,8.153853679488403,5.136231745728739,0.30324520377970793
1116663,7f-04,30/12/2021,m,penk,8f,penk,ADD3,R,3/3/2022,1,,7.228638996138996,5.0938416988416995,0.3654150579150579
1117217,NP-01,14/2/2022,m,penk,7f,nonpenk,344,R,3/5/2022,1,,7.766505681818182,5.026232244318182,0.2980681818181818
1116994,Flp7f-2,14/2/2022,m,penk,7f,penk,A160.1 + A83,R,10/5/2022,1,,7.7766535940060875,5.070697728869117,0.3654267150550222
1117646,NP-CT,2/5/2022,m,penk,7f,nonpenk,344,?,16/6/2022,1,"Surgery by CT, check details",7.5875,5.079166666666666,0.5666666666666668
1118018,Flp7f-3-01,21/6/2022,m,penk,7f,penk,A160.1 + A83,R,10/8/2022,1,,,,
1117788,NP-03,19/5/2022,m,penk,7f,nonpenk,344,R,7/9/2022,1,,7.120212038303695,4.919288645690835,0.40085499316005474
1118213,NP-06,	15/07/2022,m,penk x rbp4,7f,nonpenk,344,R,20/10/2022,1,,7.797017519466074,5.09212319243604,0.3439052651093808
1118020,7f-06,	21/06/2022,m,penk,7f,penk,ADD3,L,23/8/2022,1,,7.9375,5.23,0.3025
1118023,7f-07,	21/06/2022,f,penk,7f,penk,ADD3,R,6/9/2022,1,,8.058963309529672,5.059095666092095,0.29023639497660675
1118317,7f-08,	01/08/2022,m,penk,7f,penk,ADD3.1,L,13/10/2022,1,,7.2125,5.103571428571429,0.4071428571428571
1118320,7f-09,1/8/2022,m,penk,7f,penk,ADD3.1,R,20/10/2022,1,,7.505833333333334,5.1414583333333335,0.35597222222222225
